Serial Number,Title,Paragraph
1,Mount Bona,"Mount Bona is one of the major mountains of the Saint Elias Mountains in eastern Alaska, and is the fifth-highest independent peak in the United States.[4]  It is either the tenth- or eleventh-highest peak in North America. Mount Bona and its adjacent neighbor Mount Churchill are both large ice-covered stratovolcanoes.  Bona has the distinction of being the highest volcano in the United States and the fourth-highest in North America, outranked only by the three highest Mexican volcanoes, Pico de Orizaba, Popocatépetl, and Iztaccíhuatl. Its summit  is a small stratovolcano on top of a high platform of sedimentary rocks.[5]"
2,Shiveluch,"Shiveluch (Russian: Шивелуч) is the northernmost active volcano in Kamchatka Krai, Russia. It and Karymsky are Kamchatka's largest, most active and most continuously erupting volcanoes."
3,Pinneberg,"The following 21 files are in this category, out of 21 total."
4,Cavehill,
5,Tschuggen,"The Tschuggen is a mountain of the Plessur Alps, overlooking Arosa in the Swiss canton of Graubünden."
6,Fulhorn,"The Fulhorn is a mountain of the Plessur Alps, overlooking Churwalden in the canton of Graubünden. It lies on the range separating the Domleschg from Lenzerheide."
7,Wüstegarten,"Wüstegarten is a mountain in the counties of Waldeck-Frankenberg and Schwalm-Eder-Kreis in the north of the German state of Hesse. It is in the Kellerwald mountains and has an elevation of 675.3 metres (2,216 ft)."
8,Mount San Antonio,"Mount San Antonio, commonly referred to as Mount Baldy or Old Baldy, is a 10,064 ft (3,068 m) summit in the San Gabriel Mountains on the border of Los Angeles and San Bernardino counties of California.[4][5] Lying within the San Gabriel Mountains National Monument and Angeles National Forest, it is the high point of the range, the county, and the Los Angeles metropolitan area."
9,Santorini,"Santorini (Greek: Σαντορίνη, pronounced [sandoˈrini]), officially Thira (Greek: Θήρα [ˈθira]) and classic Greek Thera (English pronunciation /ˈθɪərə/), is an island in the southern Aegean Sea, about 200 km (120 mi) southeast from the Greek mainland. It is the largest island of a small, circular archipelago, which bears the same name and is the remnant of a caldera. It forms the southernmost member of the Cyclades group of islands, with an area of approximately 73 km2 (28 sq mi) and a 2011 census population of 15,550. The municipality of Santorini includes the inhabited islands of Santorini and Therasia, as well as the uninhabited islands of Nea Kameni, Palaia Kameni, Aspronisi and Christiana. The total land area is 90.623 km2 (34.990 sq mi).[2] Santorini is part of the Thira regional unit.[3]"
10,Piz Ela,"Piz Ela is a mountain in the Albula Alps, overlooking Bergün, in the Swiss canton of Graubünden. It is located in the center of the nature park Parc Ela."
11,Schrattenfluh,"The Schrattenfluh (also spelled Schrattenflue) is a mountain of the Swiss Alps, located in the upper Emmental, in the canton of Lucerne. The Schrattenfluh is composed of several summits of which the highest (2,092 m (6,864 ft)) is named Hengst."
12,Camoghè,"The Camoghè is a mountain of the Lugano Prealps, located east of Camorino in the canton of Ticino. It is the highest mountain that can be seen from Lugano city center."
13,Gross Aubrig,"The Gross Aubrig (1,695 m or 5561 ft ) is a mountain of the Schwyzer Alps, overlooking the lake of Wägital in the canton of Schwyz. It lies north of the Fluebrig, on the range between the valley of the Sihl and the Wägital. Its child peak Chli Aubrig lies to the west."
14,Hohgant,"The Hohgant is a mountain of the Emmental Alps, located south of the Emmental in the canton of Berne. The main summit has an elevation of 2,197 metres above sea level and is distinguished by the name Furggengütsch."
15,Rautispitz,"The Rautispitz is a mountain of the Schwyzer Alps, overlooking Netstal in the canton of Glarus. It lies between the Obersee and the Klöntalersee and culminates at 2,283 metres above sea level. Its summit is generally accessed from the west side, with several trails starting at the Obersee."
16,Picco Luigi Amedeo,"Pic Luigi Amedeo (Italian: Picco Luigi Amedeo, French: Pointe Louis-Amédée) (4,460 metres (14,630 ft)) is a mountain in the Mont Blanc massif in the Aosta Valley, Italy. It lies on the Brouillard ridge to the summit of Mont Blanc, and is only reachable via an ascent of that ridge.[1][2]: 207"
17,Mont Maudit,"Mont Maudit (4,465 m) is a mountain in the Mont Blanc massif in France and Italy. The French name literally means ""Cursed Mountain"". Until the end of the 18th century, Mont Blanc and its satellite peaks were collectively known in French as the Montagne Maudite."
18,Parrotspitze,"The Parrotspitze (in Italian, the Punta Parrot) (4,432 m) is a peak in the Pennine Alps of Italy and Switzerland. It is located south of Dufourspitze in the Monte Rosa Massif. The mountain is named after Johann Jakob Friedrich Wilhelm Parrot, a German doctor, who made an attempt on the Piramide Vincent with Joseph Zumstein in 1816."
19,Ludwigshöhe,"The Ludwigshöhe is a mountain in the Pennine Alps on the Swiss-Italian border. It is situated near the Dufourspitze in the Monte Rosa Massif. The summit is the tripoint between Valais, Aosta Valley and Piedmont."
20,Gunung Telagabodas,"Mount Talagabodas or Mount Telagabodas (which means Mount of White Lake (refer to white crater lake) in Sundanese) is a stratovolcano in West Java, Indonesia. The volcano is about 25 km to the east of the town of Garut and is built up of andesitic lavas and pyroclastics. Fumaroles, mud pots and hot springs are found around the crater lake. Changes of the lake color occurred in 1913 and 1921.[1] The diameter of crater lake is less than 2 km and lies at an altitude of 1,720 m or 1,020 m above Garut plains.[2]"
21,Mount Erciyes,
22,Lizumer Reckner,"The Lizumer Reckner is, at 2,886 m above sea level (AA),[1] the highest mountain in the Tux Alps in the Austrian state of Tyrol."
23,Mons Herodotus,Mons Herodotus is a small lunar mountain north of the crater Herodotus.  It lies on the rugged Aristarchus Plateau and rises approximately 1 km above the surrounding terrain.
24,Coma Pedrosa,
25,Aurès Mountains,"The Aures Mountains (Arabic: جبال الأوراس) are an eastern prolongation of the Atlas Mountain System that lies to the east of the Saharan Atlas in northeastern Algeria and northwestern Tunisia, North Africa. The mountain range gives its name to the mountainous natural and historical region of the Aures."
27,Dunsinane Hill,
28,Kleiner Winterberg,"The Kleiner Winterberg is a mountain, 837 m above sea level (NN)[1], in the borough of Wernigerode, Harz county, in the German state of Saxony-Anhalt. It is found in the Harz Mountains and is a subpeak of the Wurmberg, the highest point in the neighbouring state of Lower Saxony."
29,Mount Juneau,"Mount Juneau (Tlingit: Yadaa.at Kalé) is a 3,576-foot (1,090 m) massif in Southeast Alaska just one and a half miles (2.4 km) east of downtown Juneau, Alaska, in the Boundary Ranges.[3]"
30,Srđ,"Srđ is a low mountain just behind the walled city of Dubrovnik in Dalmatia, Croatia.[1] The mountain, part of the Dinaric Alps, has a height of 412 metres (1,352 ft).[2] At its top is a large white stone cross and Fort Imperial, a defensive structure built by the French in 1810 during the Napoleonic Wars. Srđ is popular with tourists as a viewpoint[1] from which it is possible to see the walled city of Dubrovnik, Lokrum island, the Adriatic Sea and various local attractions (including restaurants and the Stradun)."
31,Nanga Parbat,
32,Schreckhorn,"The Schreckhorn (4,078 m) is a mountain in the Bernese Alps. It is the highest peak located entirely in the canton of Berne. The Schreckhorn is the northernmost Alpine four-thousander and the northernmost summit rising above 4,000 metres in Europe."
33,Breithorn,"The Breithorn (German for literally ""broad horn""; 13,661 ft. or 4,164 m) is a mountain range of the Pennine Alps with its highest peak of the same name (but also called Breithorn (Western Summit)), located on the border between Switzerland and Italy. It lies on the main chain of the Alps, approximately halfway between the Matterhorn and Monte Rosa and east of the Theodul Pass. Most of the massif is glaciated and includes several subsidiary peaks, all located east of the main summit: the Central Breithorn, the western Breithorn Twin (or Eastern Breithorn), the Gendarm (or eastern Breithorn Twin) and the Roccia Nera. The main summit is sometimes distinguished by the name Western Breithorn (German: Breithorn (Westgipfel), Italian: Breithorn Occidentale). The nearest settlements are Zermatt (Valais) and St-Jacques (Aosta Valley)."
34,Nesthorn,The Nesthorn is a mountain in the Bernese Alps. It is located in the Swiss canton of Valais north of Brig. The mountain lies between the Oberaletsch Glacier on the north and east side and the Gredetschtal on the south side. It is part of the subrange of the Bernese Alps that culminates at the Aletschhorn.
35,Mürtschenstock,"The Mürtschenstock is a mountain massif of the Glarus Alps, overlooking the Walensee in the canton of Glarus. It is composed of several summits, of which the highest (named Ruchen) has an elevation of 2,441 metres above sea level. The two other main summits are the Stock (2,390 m) and the Fulen (2,410 m) ."
36,Vincent Pyramid,"The Vincent Pyramid (Walser German: Vincentpiramid, French: Pyramide Vincent, Italian: Piramide Vincent) (4,215 m (13,829 ft)) is a mountain of the Pennine Alps, located on the border between the Italian regions of Aosta Valley and Piedmont. The Vincent Pyramid makes up a large buttress of the huge multi-summited Monte Rosa. It lies south of the Ludwigshöhe on the border with Switzerland, between the Lysgletscher and the Piode Glacier. A seconday summit of the Vincent Pyramid, the Punta Giordani/Giordanispétz (4,046 m (13,274 ft)), lies to the southeast. Both Vincent Pyramid and Punta Giordani are on the official UIAA list of Alpine four-thousanders."
37,Grandes Jorasses,"The Grandes Jorasses (4,208 m; 13,806 ft) is a mountain in the Mont Blanc massif, on the boundary  between Haute-Savoie in France and Aosta Valley in Italy."
38,Rimpfischhorn,"The Rimpfischhorn (4,199 m) is a mountain in the Pennine Alps of Switzerland."
39,Strahlhorn,"The Strahlhorn (4,190 m) is a mountain of the Swiss Pennine Alps, located south of Saas-Fee and east of Zermatt in the canton of Valais. It lies on the range that separates the Mattertal from the Saastal and is located approximately halfway between the Rimpfischhorn and the Schwarzberghorn."
40,Monte San Salvatore,"The Monte San Salvatore (912 m) is a mountain in the Lepontine Alps above Lake Lugano and the city of Lugano in Switzerland. The Monte San Salvatore funicular links the city with the summit of the mountain. The village on top of its peaks, Carona, is a popular destination to enjoy views over Lake Lugano and to walk through the exotic plants and flowers of Parco San Grato.[2]"
41,Hundwiler Höhi,"The Hundwiler Höhi (1,306 m) is a mountain of the Appenzell Alps, located on the border between the Swiss cantons of Appenzell Ausserrhoden and Appenzell Innerrhoden. It is situated between Hundwil and Gonten."
42,Piz Beverin,"Piz Beverin is a mountain of the Lepontine Alps, overlooking Thusis in the canton of Graubünden. A trail leads to the summit."
43,Badus,"Piz Badus or Six Madun is a mountain in the Lepontine Alps, lying on the border between the cantons of Uri and Graubünden."
44,Alperschällihorn,"Alperschällihorn is a mountain of the Lepontine Alps, overlooking Splügen in the canton of Graubünden. The mountains is situated between the Safien valley (north) and the Hinterrhein valley (south)."
45,Bachtel,"Bachtel is a mountain of the Zurich Oberland, located between Hinwil and Wald in the canton of Zurich. It lies approximately halfway between the Schnebelhorn (the highest point of the canton) and Lake Zurich."
46,Ortstock,"The Ortstock is a mountain in the Schwyzer Alps, located at an elevation of 2,717 m (8,914 ft) on the border between the cantons of Schwyz and Glarus. It overlooks Braunwald and Linthal on its east side, while the west side overlooks the high valley of Glattalp.[2]"
47,Brünnelistock,"The Brünnelistock (2,133 m) is a mountain of the Schwyzer Alps, located on the border between the cantons of Schwyz and Glarus. It lies north of the Mutteristock, on the range between the Wägitalersee and the Obersee."
48,Piz Daint,"Piz Daint (Romansh: [pits ˈdai̯nt]) is a mountain of the Swiss Ortler Alps, overlooking the Ofen Pass in the canton of Graubünden. The closest locality is Tschierv on the north side."
49,Stanserhorn,
50,Gross Windgällen,"The Gross Windgällen is a 3,187 m high mountain in the Glarus Alps, overlooking the valley of the Reuss in the canton of Uri. The name Gross Windgällen derives from Gälle or gellen, meaning as much as wailing, shrilling or whistling."
51,Mount Agri,
52,Pic du Midi d'Ossau,"The Pic du Midi d'Ossau (2,884 m) is a mountain rising above the Ossau Valley in the French Pyrenees. Despite possessing neither a glacier nor, in the context of the range, a particularly high summit, its distinctive shape makes it a symbol of the French side of the Pyrenees. This familiar shape also makes it easily recognisable from afar, and it is particularly distinctive from the Boulevard des Pyrénées in Pau, some 55 km to the north.[1][2]"
53,Maja e Ershellit,"Maja e Ershellit is a mountain in Albania. The mountain, rising 2,065 m high, is located in the Accursed Mountains range.[1] It is situated north of the lake of Koman."
54,Pic de Bugarach,"The Pic de Bugarach ([pik də byɡaʁaʃ]) or Pech de Bugarach ([pɛʃ-]) (puèg de Bugarag in Occitan, i.e. ""Peak of Bugarag"") is the highest summit (1230 m) in the Corbières Massif in the French Midi."
55,Dešat,"Dešat or Deshat (Macedonian: Дешат; definite Albanian form: Deshati) is a mountain on the border between Albania and North Macedonia.[1] The mountain is characterised by its steep peaks: Mal and Golem Krčin and Velivar. The highest peak on the mountain, Velivar, 2,375 m (7,792 ft) above the sea level. Other significant peaks are: Deli Senica, and Suva Bara. Dešat also has deep river gorges, immense forests, and small glacial mountain lakes. The nearest town from the Albanian side is Peshkopi and from the Macedonian side is Debar."
56,Cerro San José,"Cerro San José is a mountain found on the boundary between the Mexican states of Chihuahua and Sonora. The peak is 2,700 metres (8,858 ft) above sea level. The mountain is located in Janos Municipality in Chihuahua, and Bavispe Municipality in Sonora."
57,Abajo Peak,"Abajo Peak is the highest peak in the Abajo Mountains of southeast Utah, United States and is located in the Manti-La Sal National Forest. The summit is 7 miles (11 km) southwest of Monticello, Utah and 23 miles (37 km) west of the Colorado border. There are several communication towers on the peak.[3]"
58,Mount Timpanogos,"Mount Timpanogos, often referred to as Timp, is the second-highest mountain in Utah's Wasatch Range. Timpanogos rises to an elevation of 11,752 ft (3,582 m) above sea level in the Uinta-Wasatch-Cache National Forest. With 5,270 ft (1,610 m) of topographic prominence, Timpanogos is the 47th-most prominent mountain in the contiguous United States.[3]"
59,Denali,
60,Bützistock,"The Bützistock is a mountain of the Glarus Alps. It lies on the border between the cantons of Glarus and St. Gallen in Eastern Switzerland.[2] The top is 2,496 m (8,189 ft) above sea level or 513 meters above the surrounding terrain. The width at the base is 18 km."
61,Mont Rouge,"Mont Rouge is a mountain of the Swiss Pennine Alps, located south of Nendaz and Hérémence in the canton of Valais. It lies between the valleys of Nendaz and Hérémence, on the chain north of the Rosablanche."
62,Dent du Salantin,"The Dent du Salantin is a mountain of the Chablais Alps, overlooking the Rhone valley between Evionnaz and Vernayaz, in the canton of Valais. It lies in the massif of the Dents du Midi, east of Lac de Salanfe."
63,Poncione Rosso,"The Poncione Rosso is a mountain of the Lepontine Alps, located in the Swiss canton of Ticino. It lies on the chain separating the valleys of Verzasca and Leventina."
64,Spitzmeilen,"The Spitzmeilen is a mountain of the Glarus Alps, lying on the border between the Swiss cantons of Glarus and St. Gallen. It lies between the valleys of Schilstal and Sernftal.[2]"
65,Crap Masegn,"The Crap Masegn is a mountain of the Glarus Alps, located near Flims in the canton of Graubünden, Switzerland. It lies south of the Vorab."
66,Mount Kinabalu,
67,Mont Blanc,
68,Lagginhorn,"The Lagginhorn (4,010 m) is a mountain in the Pennine Alps in Switzerland. It lies a few kilometres north of the slightly higher Weissmies and also close to the slightly lower Fletschhorn on the north."
69,Furggelenstock,"The Furggelenstock (1,656 m) is a mountain of the Swiss Prealps, located west of Oberiberg in the canton of Schwyz. It lies on the range surrounding Alpthal."
70,Gspaltenhorn,"The Gspaltenhorn is a mountain of the Bernese Alps, located between the valleys of Kiental and Lauterbrunnen in the canton of Bern. With an elevation of 3,436 metres above sea level, the Gspaltenhorn is the highest summit of the range lying north-east of the Gamchilück pass (2,837 m)."
71,Le Rubli,"Le Rubli (or Rüeblihorn) is a 2,285 metre high mountain in the western Bernese Alps, overlooking Rougemont in the canton of Vaud, near the border with the canton of Berne. Le Rubli has steep faces and its summit is relatively difficult to access. A via ferrata starts near the gondola station of the Videmanette (2,160 m)."
72,Rienzenstock,"The Rienzenstock (2,962 m) is a mountain in Switzerland of the Glarus Alps, overlooking the valley of the Reuss near Göschenen in the canton of Uri. It is the culminating point of the group lying west of the Fellilücke."
73,Regitzer Spitz,"The following 43 files are in this category, out of 43 total."
74,Piz Surlej,"Piz Surlej is a mountain in the Bernina Range of the Alps, overlooking Lake Silvaplana in the canton of Graubünden. It lies between the main Engadin valley and the Val Roseg, north of Piz Corvatsch."
75,Breithorn,"The Breithorn, (3,780 m) is a mountain of the Bernese Alps, located on the border between the Swiss cantons of Bern and Valais. It is part of the border between  Lauterbrunnental and the Lötschental. It lies approximately halfway between the Tschingelhorn and the Grosshorn."
76,Gäbris,"Gäbris is a mountain of the Appenzell Alps, overlooking Gais in the canton of Appenzell Ausserrhoden."
77,Moléson,
78,Piz Buin,Piz Buin (German pronunciation: [ˌpits buˈiːn] (listen)) is a mountain in the Silvretta range of the Alps on the border between Austria and Switzerland. It forms the border between the Swiss canton of Graubünden and the Austrian state of Vorarlberg and is the highest peak in Vorarlberg.
79,Taumatawhakatangihangakōauauotamateapōkaiwhenuakitānatahu,
80,Grand Pilier d'Angle,"The Grand Pilier d'Angle (4,243 m) is a buttress on the southern side of Mont Blanc in the Mont Blanc massif in the Aosta Valley, Italy."
81,Stecknadelhorn,"The Stecknadelhorn (4,241 m) is a mountain in the Pennine Alps in Switzerland. It lies on the Nadelgrat, a high-level ridge running roughly north–south above the resort of Saas Fee to the east, and the Mattertal to the west."
82,Castor,"Castor (Italian: Castore) is a mountain in the Pennine Alps on the border between Valais, Switzerland and the Aosta Valley in Italy. It is the higher of a pair of twin peaks (German: Zwillinge), the other being Pollux, named after the Gemini twins of Roman mythology. Castor's peak is at an elevation of 4,223 m (13,855 ft), and it lies between Breithorn and the Monte Rosa. It is separated from Pollux by a pass at 3,847 m (12,621 ft), named Passo di Verra in Italian and Zwillingsjoch in German."
83,Hohberghorn,"The Hohberghorn (4,219 m) is a mountain in the Pennine Alps in Switzerland. It lies towards the northern end of the Nadelgrat, a high-level ridge running roughly north–south, north of the Dom, above the resort of Saas-Fee to the east, and the Mattertal to the west."
84,Fänerenspitz,"The following 20 files are in this category, out of 20 total."
85,Silvrettahorn,"The Silvrettahorn is a mountain of the Silvretta Alps, located on the border between Switzerland and Austria. On its southern Swiss side it overlooks the Silvretta Glacier."
86,Wildhuser Schafberg,"The Wildhuser Schafberg is a mountain of the Appenzell Alps, overlooking Wildhaus in the canton of St. Gallen. It is situated in the massif of the Alpstein, on the range west of the Altmann."
87,Niesen,"The Niesen is a mountain peak of the Bernese Alps in the Canton of Bern, Switzerland.  The summit of the mountain is 2,362 metres (7,749 ft) in elevation."
88,Schiahorn,"The Schiahorn is a mountain of the Plessur Alps, overlooking Davos in the canton of Graubünden. The Schiahorn is located just east of the Strela Pass, where the summit normal route starts."
89,Wissigstock,The Wissigstock is a mountain of the Urner Alps. It lies on the border between the Swiss cantons of Obwalden and Uri. The closest locality is Engelberg on the west side.
90,Piz Nair,"Piz Nair is a mountain in the Sesvenna Alps, located north of the Fuorn Pass in the canton of Graubünden."
91,Brisen,"The Brisen is a mountain of the Urner Alps, located on the border between the cantons of Nidwalden and Uri, in Central Switzerland. It is located near the slightly higher Hoh Brisen."
92,Born,"The following 7 files are in this category, out of 7 total."
93,Piz Terri,"Piz Terri is a mountain in the Lepontine Alps, located on the border between the cantons of Ticino and Graubünden. At 3,149 metres above sea level it is the highest summit lying on the chain between Greina and Soreda Pass. Piz Terri overlooks Lake Luzzone in Val Blenio on its west side, Val Sumvitg on its north side and Lumnezia on its east side. Close localities are Olivone (Val Blenio) and Vrin (Lumnezia)."
94,Oberbauenstock,"The Oberbauenstock is a mountain of the Urner Alps, overlooking Lake Lucerne in Central Switzerland. Its 2,117-metre-high (6,946 ft) summit is located on the border between the cantons of Nidwalden and Uri."
95,Piz Varuna,"Piz Varuna (3,453 m) is a mountain in the Bernina Range of the Alps, located on the border between Italy and Switzerland. It lies east of Piz Palü, between the Val Poschiavo and the Val Malenco."
96,Piz Segnas,"Piz Segnas is a mountain in the Glarus Alps, located on the border between the cantons of Glarus and Graubünden. Piz Sardona is on the same ridge to the north, from where the Trinserhorn or Piz Dolf lies to the southeast. The Tschingelhoerner with the famous Martinsloch (hole of St.Martin) lies to the west, with the Pass dil Segnas between the two mountains.[2][3]"
97,Triglav,
98,Viso,"Monte Viso or Monviso (Italian pronunciation: [moɱˈviːzo]; Occitan: Vísol; Piedmontese: Brich Monviso or Viso) is the highest mountain of the Cottian Alps. It is located in Italy close to the French border. Monte Viso is well known for its pyramid-like shape and, because it is higher than all its neighbouring peaks by about 500 m, it can be seen from a great distance, including from the Piedmontese plateau, the Langhe, the Theodulpass in the Zermatt ski area, the col du Galibier and the summits of the Mont Blanc massif. On a very clear day it can be seen from the spires of Milan Cathedral.[citation needed]"
99,Aiguille Blanche de Peuterey,"The Aiguille Blanche de Peuterey (4,112 m) is a mountain of the Mont Blanc massif in Italy. It is considered the most difficult and serious[1] of the alpine 4000-m mountains to climb."
100,Grande Rocheuse,"Grande Rocheuse (4,102 m) is a summit on the east ridge of Aiguille Verte in the Mont Blanc massif in Haute-Savoie, France"
